Date,Open,High,Low,Close,Adj Close,Volume
2023-02-15,84.000000,85.349998,83.599998,84.150002,83.169800,12266197
2023-02-16,85.000000,85.949997,84.349998,85.800003,84.800583,10475328
2023-02-17,85.449997,87.650002,85.300003,86.150002,85.146507,21525591
2023-02-20,86.000000,86.599998,84.900002,86.050003,85.047668,12315939
2023-02-21,86.500000,87.599998,86.150002,87.150002,86.134857,14079807
2023-02-22,87.000000,87.099998,84.000000,84.550003,83.565147,19537168
2023-02-23,85.000000,86.300003,84.199997,84.900002,83.911064,24771081
2023-02-24,85.349998,85.699997,82.750000,82.949997,81.983772,19305545
2023-02-27,82.699997,83.400002,81.099998,83.000000,82.033195,16861726
2023-02-28,83.099998,83.599998,81.800003,82.750000,81.786110,14683471
2023-03-01,83.000000,85.500000,83.000000,85.250000,84.256989,13629694
2023-03-02,85.099998,86.449997,84.949997,86.300003,85.294762,13107291
2023-03-03,86.849998,88.099998,86.050003,87.800003,86.777290,14681544
2023-03-06,87.699997,88.199997,86.750000,87.449997,86.431358,15255919
2023-03-08,86.250000,87.800003,85.750000,87.400002,86.381943,10100796
2023-03-09,87.550003,89.000000,87.500000,87.750000,86.727867,12585135
2023-03-10,86.800003,88.199997,86.400002,88.099998,87.073792,10662815
2023-03-13,88.349998,89.349998,86.699997,86.949997,85.937180,14288810
2023-03-14,87.099998,87.900002,85.750000,86.800003,85.788933,10616254
2023-03-15,87.550003,88.599998,87.199997,87.650002,86.629036,13398597
2023-03-16,86.849998,87.300003,84.050003,85.300003,84.306412,20684933
2023-03-17,86.000000,89.050003,85.800003,88.650002,87.617386,26577314
2023-03-20,88.650002,88.650002,85.449997,86.599998,85.591263,14909136
2023-03-21,87.050003,87.550003,86.250000,87.050003,86.036026,9170696
2023-03-22,87.150002,87.250000,84.400002,85.050003,84.059319,19851740
2023-03-23,84.849998,86.699997,84.199997,85.849998,84.849998,17338653
2023-03-24,85.050003,85.050003,82.000000,82.349998,82.349998,20599895
2023-03-27,82.099998,82.900002,80.900002,81.199997,81.199997,11701170
2023-03-28,81.250000,81.849998,80.650002,80.800003,80.800003,11090113
2023-03-29,80.800003,82.949997,80.599998,82.550003,82.550003,13616947
2023-03-31,83.449997,84.300003,77.599998,82.699997,82.699997,20583852
2023-04-03,83.849998,84.349998,83.300003,83.800003,83.800003,7075382
2023-04-05,83.199997,83.449997,82.099998,82.500000,82.500000,8559285
2023-04-06,82.300003,82.650002,81.300003,82.099998,82.099998,9141521
2023-04-10,82.500000,83.199997,82.250000,82.449997,82.449997,7342069
2023-04-11,83.000000,83.050003,81.699997,82.449997,82.449997,18451727
2023-04-12,83.000000,83.400002,82.400002,82.699997,82.699997,13125615
2023-04-13,82.650002,83.000000,81.150002,81.550003,81.550003,12468154
2023-04-17,81.849998,82.500000,81.650002,82.300003,82.300003,6426817
2023-04-18,82.650002,83.000000,82.000000,82.300003,82.300003,6301411
2023-04-19,82.349998,84.150002,82.300003,82.650002,82.650002,12688176
2023-04-20,82.500000,83.650002,82.400002,83.199997,83.199997,6865529
2023-04-21,83.150002,83.400002,80.750000,81.599998,81.599998,16876304
2023-04-24,81.199997,82.300003,80.849998,82.000000,82.000000,7946999
2023-04-25,81.800003,82.599998,81.699997,81.949997,81.949997,7788276
2023-04-26,81.800003,81.800003,80.849998,81.199997,81.199997,9901624
2023-04-27,81.250000,81.900002,80.949997,81.699997,81.699997,8977490
2023-04-28,82.000000,82.900002,81.900002,82.800003,82.800003,11438678
2023-05-02,83.000000,85.199997,83.000000,84.599998,84.599998,20210134
2023-05-03,85.150002,85.449997,84.000000,85.150002,85.150002,14993568
2023-05-04,85.150002,86.599998,85.000000,85.699997,85.699997,13452219
2023-05-05,85.699997,85.750000,82.500000,82.699997,82.699997,16749470
2023-05-08,83.349998,84.449997,82.949997,84.300003,84.300003,14678832
2023-05-09,84.199997,85.150002,83.650002,84.199997,84.199997,13523848
2023-05-10,84.250000,84.449997,82.599998,83.949997,83.949997,13487783
2023-05-11,83.900002,84.300003,83.400002,84.099998,84.099998,8109668
2023-05-12,83.500000,83.750000,82.449997,83.050003,83.050003,12358464
2023-05-15,83.050003,84.449997,82.199997,84.250000,84.250000,7462528
2023-05-16,84.500000,84.949997,83.650002,84.050003,84.050003,7376841
2023-05-17,83.800003,83.800003,82.300003,82.800003,82.800003,13496921
